"id","name","province","city","area","pos_x","pos_y","addr","cert_level","cert_no","eval_range","tel","email","project_num","permit_num","engineer_num","record_num"
"20","北京京诚嘉宇环境科技有限公司","北京","北京","西城区","116.363640","39.896793","北京 北京 西城区 北京市西城区广安门内大街311号院祥龙商务大厦1号楼3层","甲级","1013","冶金机电（甲级）,社会区域（甲级）,建材火电（甲级）,采掘（甲级）,一般项目环境影响报告","","","21","0","21","1"
"21","北京矿冶研究总院","北京","北京","丰台区","116.297386","39.826515","北京 北京 丰台区 北京市南四环西路188号总部基地十八区23号楼","甲级","1014","冶金机电（甲级）,采掘（甲级）,社会区域（乙级）,一般项目环境影响报告","010-63299888","infonet@bgrimm.com","45","0","45","2"
"22","中国水电顾问集团北京勘测设计研究院（北京国电水利水电工程有限公司）","北京","北京","朝阳区","116.555450","39.921692","北京 北京 朝阳区 北京市朝阳区定福庄西街一号","甲级","1015","一般项目环境影响报告表,农林水利（甲级)","010-51972599","","5","0","11","1"
"23","交通运输部公路科学研究所（交通部公路科学研究所）","北京","北京","海淀区","116.361458","39.974117","北京 北京 海淀区 北京市海淀区西土城路8号","甲级","1016","一般项目环境影响报告表,海洋工程（甲级）,交通运输（甲级)","","","27","0","27","0"
"24","交通运输部水运科学研究所","北京","北京","海淀区","116.361725","39.972000","北京 北京 海淀区 北京市海淀区西土城路8号","甲级","1017","交通运输（甲级）,社会区域（乙级）,一般项目环境影响报告","","","16","0","16","1"
"25","中国电力工程顾问集团华北电力设计院工程有限公司（北京国电华北电力工程有限公司、北京国电公司））","北京","北京","西城区","116.392517","39.969025","北京 北京 西城区 北京市西城区黄寺大街甲24号","乙级","1018","特殊项目环境影响报告表,一般项目环境影响报告表,输变电及 广电通讯（甲级）,建材火电（甲级)","010-59385588","ncpe@ncpe.com.cn","24","0","24","1"
"26","中国铁道科学研究院（铁道科学研究院）","北京","北京","海淀区","116.343582","39.969852","北京 北京 海淀区 北京市海淀区西直门外大柳树路2号","乙级","1021","一般项目环境影响报告表,社会区域（乙级）,交通运输（甲级)","010-51849150","","40","0","40","1"
"27","清华大学","北京","北京","海淀区","116.341476","40.004185","北京 北京 海淀区 北京市海淀区清华大学环境系馆914室","甲级","1022","化工石化医药（甲级）,交通运输（甲级）,社会区域（甲级）,建材火电（乙级）,核工业（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","51","75","51","0"
"28","中国水利水电科学研究院","北京","北京","海淀区","116.339050","39.918278","北京 北京 海淀区 北京市海淀区复兴路甲一号","甲级","1024","农林水利（甲级）,社会区域（甲级）,一般项目环境影响报告","","","6","0","13","1"
"29","北京中油建设项目劳动安全卫生预评价有限公司（中国石油集团安全环保技术研究院）","北京","北京","昌平区","116.251953","40.170380","北京 北京 昌平区 北京市昌平区沙河镇西沙屯桥西","乙级","1025","一般项目环境影响报告表,交通运输（甲级）,采掘（甲级)","010-80169857","","29","0","29","0"
"30","中国肉类食品综合研究中心","北京","北京","丰台区","116.393463","39.854591","北京 北京 丰台区 北京市丰台区洋桥70号","甲级","1026","轻工纺织化纤（甲级）,社会区域（甲级）,一般项目环境影响报告","010-67264755","","72","0","72","2"
"31","中国运载火箭技术研究院","北京","北京","丰台区","116.435310","39.803478","北京 北京 丰台区 北京市丰台区东高地万源南里甲43号 ","甲级","1027","冶金机电（甲级）,社会区域（甲级）,输变电及 广电通讯（甲级）,一般项目环境影响报告表,特殊项目环境影响报告","","","12","0","11","1"
"32","轻工业环境保护研究所（中国轻工总会环境保护研究所）","北京","北京","海淀区","116.315971","39.954411","北京 北京 海淀区 北京市海淀区西三环北路27号北科大厦六层","乙级","1028","一般项目环境影响报告表,冶金机电（乙级）,化工石化医药（乙级）,社会区域（甲级）,轻工纺织化纤（甲级)","","","16","51","16","0"
"33","中国航空规划建设发展有限公司（中国航空工业规划设计研究院）","北京","北京","西城区","116.387611","39.967552","北京 北京 西城区 北京市西城区德外大街12号","甲级","1030","特殊项目环境影响报告表,一般项目环境影响报告表,交通运输（乙级）,输变电及 广电通讯（乙级）,社会区域（乙级）,采掘（乙级）,冶金机电（甲级)","","","21","0","21","1"
"34","中海油研究总院","北京","北京","东城区","116.452431","39.948723","北京 北京 东城区 北京市东城区东直门外小街6号海油大厦","甲级","1031","海洋工程（甲级）,一般项目环境影响报告","","","0","0","12","0"
"35","北京北方节能环保有限公司","北京","北京","丰台区","116.287552","39.832191","北京 北京 丰台区 北京市丰台区海鹰路总部国际6号院21号楼","甲级","1032","化工石化医药（甲级）,冶金机电（甲级）,社会区域（甲级）,轻工纺织化纤（乙级）,建材火电（乙级）,一般项目环境影响报告","","","35","0","35","0"
"36","北京大学","北京","北京","海淀区","116.318977","40.001862","北京 北京 海淀区 北京市海淀区颐和园路5号","甲级","1033","交通运输（甲级）,一般项目环境影响报告","","","4","0","10","3"
"37","中国恩菲工程技术有限公司","北京","北京","海淀区","116.329605","39.912666","北京 北京 海淀区 北京海淀区复兴路12号","甲级","1035","采掘（甲级）,冶金机电（甲级）,社会区域（乙级）,一般项目环境影响报告","","","6","0","11","2"
"38","交通运输部环境保护中心（交通部环境保护中心）","北京","北京","东城区","116.431969","39.963997","北京 北京 东城区 北京市东城区和平里东街10号院-1号交通部办公楼 ","甲级","1038","一般项目环境影响报告表,交通运输（甲级)","","","19","0","19","2"
"39","中冶节能环保有限责任公司（中冶建研工程技术有限公司、中国京冶工程技术有限公司）","北京","北京","海淀区","116.359917","39.967064","北京 北京 海淀区 北京市海淀区西土城路33号","乙级","1039","冶金机电（甲级）,社会区域（甲级）,输变电及 广电通讯（甲级）,轻工纺织化纤（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","29","0","29","1"
"40","中材地质工程勘查研究院有限公司（中非地质工程勘查研究院、中材地质工程勘查研究院）","北京","北京","朝阳区","116.464417","39.989273","北京 北京 朝阳区 北京市朝阳区望京西路甲50号－1 卷石天地大厦A座","乙级","1040","建材火电（甲级）,采掘（甲级）,社会区域（甲级）,冶金机电（乙级）,一般项目环境影响报告","","","12","0","16","0"
"41","中国人民解放军环境科学研究中心","北京","北京","昌平区","116.146538","40.144669","北京 北京 昌平区 北京市昌平县阳坊镇（北京市1044信箱18号）","甲级","1042","化工石化医药（甲级）,交通运输（乙级）,社会区域（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","84","31","84","1"
"42","北京欣国环环境技术发展有限公司","北京","北京","西城区","116.355339","39.938766","北京 北京 西城区 北京市西城区车公庄大街9号院五栋大楼b2座12层","甲级","1043","建材火电（甲级）,交通运输（甲级）,社会区域（甲级）,冶金机电（甲级）,化工石化医药（乙级）,采掘（乙级）,一般项目环境影响报告","","","28","0","28","3"
"43","北京国环建邦环保科技有限公司（北京永新环保有限公司）","北京","北京","海淀区","116.342560","40.004543","北京 北京 海淀区 北京海淀区清华大学学研大厦A座8层","乙级","1045","一般项目环境影响报告表,冶金机电（乙级）,化工石化医药（乙级）,社会区域（甲级）,交通运输（甲级)","010-62770577","eea816@mail.tsinghua.edu.cn","32","0","32","2"
"44","中煤国际工程集团北京华宇工程有限公司","北京","北京","西城区","116.393158","39.958038","北京 北京 西城区 北京市西城区安德路67号","甲级","1046","建材火电（甲级）,采掘（甲级）,社会区域（乙级）,一般项目环境影响报告","","","20","0","20","0"
"45","中国电子工程设计院","北京","北京","海淀区","116.301170","39.912701","北京 北京 海淀区 北京市海淀区万寿路27号 ","甲级","1050","冶金机电（甲级）,输变电及 广电通讯（甲级）,化工石化医药（乙级）,社会区域（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","35","0","35","0"
"46","北京中咨华宇环保技术有限公司（原北京嘉和绿洲环保技术投资有限公司、北京中融信达环保技术投资有限公司）","北京","北京","昌平区","116.509247","39.788372","北京 北京 昌平区 北京经济技术开发区地盛南街9号","乙级","1051","化工石化医药（甲级）,建材火电（甲级）,交通运输（甲级）,社会区域（乙级）,输变电及 广电通讯（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","010-87162828","zhongzihuayu@yeah.net","338","0","338","6"
"47","中铝国际工程股份有限公司","北京","北京","海淀区","116.227676","39.962044","北京 北京 海淀区 北京市海淀区杏石口路99号C座","甲级","1052","化工石化医药（甲级）,冶金机电（甲级）,采掘（甲级）,建材火电（乙级）,一般项目环境影响报告","","","5","0","22","1"
"48","中国核电工程有限公司（中国核电工程公司）","北京","北京","海淀区","116.314987","39.931194","北京 北京 海淀区 北京市海淀区西三环北路117号 ","甲级","1053","特殊项目环境影响报告表,一般项目环境影响报告表,核工业（甲级)","","","7","0","12","1"
"49","中国原子能科学研究院","北京","北京","房山区","116.054092","39.750435","北京 北京 房山区 北京275信箱","甲级","1054","核工业（甲级）,一般项目环境影响报告表,特殊项目环境影响报告","","","13","0","10","0"
"50","北京师范大学","北京","北京","海淀区","116.372162","39.968685","北京 北京 海淀区 北京市海淀区新街口外大街19号","甲级","1056","社会区域（甲级）,一般项目环境影响报告","010-58802989","linchangjing78@bnu.edu.cn","1","0","10","0"
"51","核工业北京地质研究院","北京","北京","朝阳区","116.421028","39.986729","北京 北京 朝阳区 北京市朝阳区安外小关东里10号 ","甲级","1057","核工业（甲级）,采掘（甲级）,社会区域（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","16","0","16","3"
"52","中环联(北京)环境保护有限公司","北京","北京","朝阳区","116.434654","39.968079","北京 北京 朝阳区 北京市朝阳区和平里14区青年沟东路华表大厦6层","甲级","1058","化工石化医药（甲级）,建材火电（甲级）,采掘（甲级）,社会区域（甲级）,交通运输（乙级）,一般项目环境影响报告","010-51230069","","28","0","28","3"
"53","天津市环境保护科学研究院","天津","天津","南开区","117.165482","39.105171","天津 天津 南开区 天津市南开区复康路17号 ","甲级","1101","化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,社会区域（甲级）,轻工纺织化纤（乙级）,交通运输（乙级）,一般项目环境影响报告","","","159","0","159","0"
"54","天津市环境影响评价中心","天津","天津","南开区","117.165565","39.104851","天津 天津 南开区 天津市南开区复康路17号","甲级","1102","轻工纺织化纤（甲级）,化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,交通运输（甲级）,社会区域（乙级）,采掘（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","232","0","232","0"
"55","交通运输部天津水运工程科学研究所","天津","天津","经济开发区","117.712173","39.010082","天津 天津 经济开发区 天津市滨海新区塘沽新港二号路2618号","甲级","1103","交通运输（甲级）,社会区域（乙级）,海洋工程（乙级）,一般项目环境影响报告","","","87","0","87","2"
"56","铁道第三勘察设计院集团有限公司（铁道第三勘察设计院）","天津","天津","河北区","117.214439","39.171406","天津 天津 河北区 天津市河北区中山路10号","乙级","1104","一般项目环境影响报告表,交通运输（甲级)","","","43","0","43","1"
"57","中国市政工程华北设计研究总院（中国市政工程华北设计研究院）","天津","天津","河西区","117.193344","39.096359","天津 天津 河西区 天津市河西区气象台路99号","乙级","1106","一般项目环境影响报告表,冶金机电（乙级）,交通运输（甲级）,社会区域（甲级)","","","15","0","12","1"
"58","南开大学","天津","天津","南开区","117.182945","39.107700","天津 天津 南开区 天津市南开区卫津路94号蒙民伟楼407室","甲级","1108","社会区域（甲级）,一般项目环境影响报告","","","2","13","10","1"
"59","中海石油环保服务（天津）有限公司","天津","天津","塘沽管委会","117.728378","38.993900","天津 天津 塘沽管委会 天津市塘沽区渤海石油路688号","甲级","1109","化工石化医药（甲级）,海洋工程（甲级）,社会区域（甲级）,交通运输（甲级）,一般项目环境影响报告","","","7","0","23","0"
"60","中国天辰工程有限公司（中国天辰化学工程公司、中国天辰工程公司）","天津","天津","北辰区","117.174660","39.191154","天津 天津 北辰区 天津市北辰区京津路1号","","1110","化工石化医药（甲级）,社会区域（乙级）,一般项目环境影响报告","","","23","0","23","0"
"61","中国地质科学院水文地质环境地质研究所","河北","石家庄","正定县","114.585533","38.147774","河北 石家庄 正定县 北石家庄市正定中山东路92号","甲级","1201","采掘（甲级）,社会区域（甲级）,建材火电（乙级）,一般项目环境影响报告","","","63","0","63","7"
"62","中冶京诚（秦皇岛）工程技术有限公司","河北","秦皇岛","海港区","119.481720","39.930485","河北 秦皇岛 海港区 河北省秦皇岛市经济技术开发区龙海道71号","甲级","1202","冶金机电（甲级）,采掘（甲级）,社会区域（甲级）,建材火电（乙级）,一般项目环境影响报告","0335-5305318","ceriq@vip.163.com","21","0","21","0"
"63","河北省环境科学研究院","河北","石家庄","裕华区","114.573570","38.020756","河北 石家庄 裕华区 河北省石家庄市裕华区雅清街30号 ","甲级","1203","轻工纺织化纤（甲级）,化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,社会区域（甲级）,交通运输（甲级）,一般项目环境影响报告","","","17","0","17","0"
"64","河北冀都环保科技有限公司","河北","石家庄","裕华区","114.542175","38.030602","河北 石家庄 裕华区 河北省石家庄市裕华区槐岭路32号","甲级","1207","化工石化医药（甲级）,建材火电（甲级）,社会区域（甲级）,轻工纺织化纤（乙级）,一般项目环境影响报告","0311-85871545","","32","0","32","0"
"65","山西省环境科学研究院","山西","太原","尖草坪区","112.534828","37.893795","山西 太原 尖草坪区 山西太原市尖草坪区兴华街119号","甲级","1301","化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,采掘（甲级）,社会区域（甲级）,交通运输（甲级）,一般项目环境影响报告","","","334","0","334","3"
"66","中国辐射防护研究院","山西","太原","小店区","112.571915","37.807697","山西 太原 小店区 山西省太原市小店区学府街102号","甲级","1302","化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,核工业（甲级）,社会区域（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","71","0","71","0"
"67","太原市环境科学研究院","山西","太原","迎泽区","112.549355","37.875759","山西 太原 迎泽区 山西省太原市迎泽区桃园三巷27号","甲级","1304","化工石化医药（甲级）,轻工纺织化纤（乙级）,建材火电（乙级）,冶金机电（乙级）,社会区域（乙级）,一般项目环境影响报告","","","27","0","27","0"
"68","内蒙古环科园环境科技有限责任公司（内蒙古自治区环境科学研究院）","内蒙古","呼和浩特","赛罕区","111.764000","40.829960","内蒙古 呼和浩特 赛罕区 内蒙古呼和浩特市赛罕区腾飞路39号","乙级","1401","特殊项目环境影响报告表,一般项目环境影响报告表,社会区域（乙级）,轻工纺织化纤（乙级）,冶金机电（乙级）,采掘（甲级）,交通运输（甲级）,建材火电（甲级）,化工石化医药（甲级)","","","52","7","52","0"
"69","中冶东方工程技术有限公司（中冶集团包头钢铁设计研究总院）","内蒙古","包头","昆都仑区","109.831970","40.664276","内蒙古 包头 昆都仑区 内蒙古包头市昆都仑区钢铁大街45号","甲级","1402","一般项目环境影响报告表,社会区域（甲级）,采掘（甲级）,建材火电（甲级）,冶金机电（甲级)","","","44","0","44","1"
"70","内蒙古电力勘测设计院","内蒙古","呼和浩特","赛罕区","111.684937","40.806034","内蒙古 呼和浩特 赛罕区 内蒙古呼和浩特市赛罕区锡林南路209号","甲级","1403","建材火电（甲级）,输变电及 广电通讯（甲级）,一般项目环境影响报告表,特殊项目环境影响报告","","","4","0","13","0"
"71","大连市环境科学设计研究院","辽宁","大连","沙河口区","121.575600","38.892014","辽宁 大连 沙河口区 辽宁省大连市沙河口区连山街58号","甲级","1501","化工石化医药（甲级）,冶金机电（甲级）,交通运输（甲级）,轻工纺织化纤（乙级）,建材火电（乙级）,农林水利（乙级）,社会区域（乙级）,一般项目环境影响报告","","","41","0","41","0"
"72","辽宁省环境规划院有限公司（辽宁省环境科学研究院）","辽宁","沈阳","皇姑区","123.418480","41.845100","辽宁 沈阳 皇姑区 辽宁省沈阳市皇姑区泰山路88巷3号","乙级","1503","一般项目环境影响报告表,交通运输（乙级）,农林水利（乙级）,社会区域（甲级）,建材火电（甲级）,冶金机电（甲级）,化工石化医药（甲级）,轻工纺织化纤（甲级)","","","19","108","19","1"
"73","沈阳环境科学研究院","辽宁","沈阳","东陵区","123.384972","41.761887","辽宁 沈阳 东陵区 辽宁省沈阳市东陵区南塔街139号","甲级","1504","轻工纺织化纤（甲级）,化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,交通运输（甲级）,社会区域（甲级）,输变电及 广电通讯（甲级）,采掘（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","247","0","247","2"
"74","大连理工大学","辽宁","大连","甘井子区","121.536194","38.888596","辽宁 大连 甘井子区 辽宁省大连市甘井子区凌工路2号","甲级","1505","建材火电（甲级）,交通运输（甲级）,社会区域（甲级）,化工石化医药（乙级）,冶金机电（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","","","8","0","16","1"
"75","中煤国际工程集团沈阳设计研究院","辽宁","沈阳","沈河区","123.474525","41.792507","辽宁 沈阳 沈河区 辽宁省沈阳市沈河区先农坛路12号","甲级","1506","采掘（甲级）,社会区域（甲级）,一般项目环境影响报告","","","12","0","12","0"
"76","中冶北方工程技术有限公司","辽宁","鞍山","铁东区","123.081421","41.111912","辽宁 鞍山 铁东区 辽宁省鞍山市铁东区深裕路330号","甲级","1508","采掘（甲级）,冶金机电（甲级）,建材火电（乙级）,社会区域（乙级）,一般项目环境影响报告","","","5","0","11","1"
"77","中冶焦耐（大连）工程技术有限公司（中冶焦耐工程技术有限公司）","辽宁","鞍山","铁东区","123.002983","41.115074","辽宁 鞍山 铁东区 辽宁省鞍山市铁东区胜利南路27号","乙级","1509","化工石化医药（甲级）,冶金机电（甲级）,轻工纺织化纤（乙级）,采掘（乙级）,一般项目环境影响报告","","","9","0","0","0"
"78","抚顺环科石油化工技术开发有限公司（中国石化集团抚顺石油化工研究院）","辽宁","抚顺","望花区","123.821709","41.863129","辽宁 抚顺 望花区 辽宁省抚顺市望花区丹东路东段31号","乙级","1510","一般项目环境影响报告表,交通运输（甲级）,化工石化医药（甲级)","","","1","0","10","0"
"79","中国石油集团东北炼化工程有限公司吉林设计院（中国石油集团工程设计有限责任公司、中石油东北炼化工程有限公司）","辽宁","沈阳","沈河区","123.451859","41.823021","辽宁 沈阳 沈河区 辽宁省沈阳市沈河区惠工街124号中韩大厦","乙级","1044","轻工纺织化纤（甲级）,化工石化医药（甲级）,交通运输（甲级）,社会区域（甲级）,采掘（乙级）,一般项目环境影响报告","","","28","0","28","1"
"80","吉林省环境科学研究院","吉林","长春","朝阳区","125.294731","43.869286","吉林 长春 朝阳区 吉林省长春市朝阳区红旗街1547号","甲级","1604","交通运输（甲级）,轻工纺织化纤（乙级）,化工石化医药（乙级）,冶金机电（乙级）,采掘（乙级）,社会区域（乙级）,一般项目环境影响报告","","","46","0","46","0"
"81","吉林大学","吉林","长春","高新技术开发区","125.292320","43.829350","吉林 长春 高新技术开发区 吉林省长春市高新技术开发区前进大街2699号","甲级","1607","化工石化医药（甲级）,冶金机电（甲级）,轻工纺织化纤（乙级）,社会区域（乙级）,一般项目环境影响报告","","","58","0","58","0"
"82","中国电力工程顾问集团东北电力设计院","吉林","长春","南关区","125.331978","43.876381","吉林 长春 南关区 吉林省长春市南关区人民大街4368号","甲级","1609","建材火电（甲级）,输变电及 广电通讯（甲级）,一般项目环境影响报告表,特殊项目环境影响报告","","","10","0","17","1"
"83","东北师范大学环境科学研究所","吉林","长春","南关区","125.332649","43.867588","吉林 长春 南关区 吉林省长春市南关区人民大街5268号","甲级","1610","建材火电（甲级）,交通运输（甲级）,社会区域（甲级）,轻工纺织化纤（乙级）,采掘（乙级）,一般项目环境影响报告","","","74","0","74","0"
"84","大庆油田工程有限公司","黑龙江","大庆","让胡路区","124.863441","46.657600","黑龙江 大庆 让胡路区 黑龙江省大庆市让胡路区大庆石油设计院安全环保所","甲级","1701","化工石化医药（甲级）,采掘（甲级）,社会区域（乙级）,一般项目环境影响报告","0459-5903640","","45","0","45","0"
"85","哈尔滨工业大学","黑龙江","哈尔滨","南岗区","126.693825","45.762566","黑龙江 哈尔滨 南岗区 黑龙江省哈尔滨市南岗区海河路202号市政环境工程学院四楼419","甲级","1702","化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,轻工纺织化纤（乙级）,社会区域（乙级）,一般项目环境影响报告","0451-86282103","hithp@hit.edu.cn","137","0","137","0"
"86","黑龙江兴业环保科技有限公司(黑龙江省环境保护科学研究院)","黑龙江","哈尔滨","道外区","126.711662","45.777779","黑龙江 哈尔滨 道外区 黑龙江省哈尔滨市道外区南直路356号","乙级","1703","一般项目环境影响报告表,采掘（乙级）,化工石化医药（乙级）,社会区域（甲级）,交通运输（甲级）,建材火电（甲级)","0451-53925801","","134","0","134","2"
"87","黑龙江农垦勘测设计研究院","黑龙江","哈尔滨","香坊区","126.703682","45.745033","黑龙江 哈尔滨 香坊区 黑龙江省哈尔滨市香坊区赣水路270号","甲级","1705","农林水利（甲级）,社会区域（甲级）,轻工纺织化纤（乙级）,一般项目环境影响报告","0451-55193355","","110","0","110","1"
"88","上海市环境科学研究院","上海","上海","徐汇区","121.436882","31.175814","上海 上海 徐汇区 上海市徐汇区钦州路508号","甲级","1801","轻工纺织化纤（甲级）,化工石化医药（甲级）,冶金机电（甲级）,建材火电（甲级）,农林水利（甲级）,交通运输（甲级）,社会区域（甲级）,一般项目环境影响报告","021-54480212","","281","0","281","1"
"89","上海南域石化环境保护科技有限公司","上海","上海","徐汇区","121.435646","31.190332","上海 上海 徐汇区 上海市徐汇区宜山路425号光启城1703-1704室","甲级","1802","轻工纺织化纤（甲级）,化工石化医药（甲级）,建材火电（乙级）,社会区域（乙级）,一般项目环境影响报告","021-57945503","PLTTLP@peng.com.cn","36","0","36","1"
"90","东华大学","上海","上海","长宁区","121.421600","31.209600","上海 上海 长宁区 上海市长宁区延安西路1882号","甲级","1804","轻工纺织化纤（甲级）,化工石化医药（甲级）,社会区域（甲级）,一般项目环境影响报告","021-62373312","chliang@dhu.edu.cn","144","0","144","2"
"91","中船第九设计研究院工程有限公司（中船第九设计研究院）","上海","上海","普陀区","121.425995","31.247366","上海 上海 普陀区 上海市普陀区武宁路303号","乙级","1805","一般项目环境影响报告表,交通运输（乙级）,化工石化医药（乙级）,社会区域（甲级）,冶金机电（甲级)","","","86","9","86","1"
"92","上海化工研究院","上海","上海","普陀区","121.396019","31.226740","上海 上海 普陀区 上海市普陀区云岭东路345号","甲级","1806","化工石化医药（甲级）,冶金机电（甲级）,社会区域（甲级）,轻工纺织化纤（乙级）,一般项目环境影响报告","","","101","28","101","0"
"93","上海船舶运输科学研究所","上海","上海","浦东新区","121.548965","31.245064","上海 上海 浦东新区 上海市浦东新区民生路600号船研大厦 ","甲级","1807","交通运输（甲级）,社会区域（甲级）,一般项目环境影响报告","","","134","30","134","1"
"94","中国电力工程顾问集团华东电力设计院","上海","上海","普陀区","121.492691","31.238146","上海 上海 普陀区 上海市普陀区武宁路409号","甲级","1808","建材火电（甲级）,输变电及 广电通讯（甲级）,一般项目环境影响报告表,特殊项目环境影响报告","","","30","23","30","0"
"95","同济大学","上海","上海","杨浦区","121.507103","31.288685","上海 上海 杨浦区 上海市杨浦区四平路1239号","甲级","1810","交通运输（甲级）,社会区域（甲级）,冶金机电（乙级）,化工石化医药（乙级）,一般项目环境影响报告","","","128","50","128","1"
"96","上海勘测设计研究院","上海","上海","虹口区","121.493103","31.306093","上海 上海 虹口区 上海市虹口区逸仙路388号","甲级","1812","农林水利（甲级）,社会区域（甲级）,海洋工程（甲级）,交通运输（乙级）,输变电及 广电通讯（乙级）,一般项目环境影响报告表,特殊项目环境影响报告","021-65607379","","37","38","37","2"
"97","伊尔姆环境资源管理咨询（上海）有限公司","上海","上海","黄浦区","121.492470","31.243778","上海 上海 黄浦区 上海市黄浦区南京东路300号名人商业大厦1803室","甲级","1813","化工石化医药（甲级）,交通运输（甲级）,采掘（甲级）,社会区域（乙级）,冶金机电（乙级）,一般项目环境影响报告","","","12","16","18","1"
"98","中石化上海工程有限公司（中国石化集团上海工程有限公司　）","上海","上海","浦东新区","121.527390","31.235912","上海 上海 浦东新区 上海市浦东新区张杨路769号银河大厦","乙级","1814","一般项目环境影响报告表,化工石化医药（乙级）,社会区域（甲级)","","","21","3","21","1"
"99","上海核工程研究设计院","上海","上海","徐汇区","121.417152","31.174616","上海 上海 徐汇区 上海市徐汇区虹漕路29号","乙级","1815","特殊项目环境影响报告表,一般项目环境影响报告表,核工业（甲级)","021-61862336","gongzhongcanyu@snerdi.com.cn","14","0","10","0"
